day,contact_language,incoming,backlog_start_of_the_day,backlog24hrs_start_of_the_day,head_sla
2023-03-18,en,375,463,177,0.872
2023-03-18,es,131,189,63,0.8091603053435115
2023-03-18,fr,314,301,130,0.7770700636942676
2023-03-18,it,122,120,46,0.8934426229508197
2023-03-19,de,515,1793,1540,0.7611650485436893
2023-03-19,en,441,400,296,0.9659863945578231
2023-03-19,es,88,156,101,0.9431818181818182
2023-03-19,fr,264,326,181,0.8977272727272727
2023-03-19,it,107,138,73,0.9906542056074766
2023-03-20,de,1640,1664,1408,0.801829268292683
2023-03-20,en,1200,383,285,0.935
2023-03-20,es,339,128,99,0.8289085545722714
2023-03-20,fr,682,347,206,0.9281524926686217
2023-03-20,it,283,70,49,0.9681978798586572
2023-03-21,de,1668,1799,1146,0.8597122302158273
2023-03-21,en,1215,439,158,0.9415637860082304
2023-03-21,es,326,159,38,0.9202453987730062
2023-03-21,fr,613,347,124,0.9233278955954323
2023-03-21,it,244,87,23,0.9467213114754098
2023-03-22,de,1661,1640,904,0.7760385310054184
2023-03-22,en,1160,413,122,0.9387931034482758
2023-03-22,es,278,192,54,0.8597122302158273
2023-03-22,fr,641,293,104,0.8798751950078003
2023-03-22,it,229,79,21,0.8602620087336245
2023-03-23,de,1573,1744,871,0.6884933248569612
2023-03-23,en,1170,392,141,0.9017094017094017
2023-03-23,es,308,126,36,0.7954545454545454
2023-03-23,fr,519,286,97,0.8342967244701349
2023-03-23,it,254,88,21,0.8818897637795275
2023-03-24,de,1325,1889,969,0.6520754716981132
2023-03-24,en,936,523,159,0.8472222222222222
2023-03-24,es,244,219,50,0.9057377049180327
2023-03-24,fr,408,363,127,0.8014705882352942
2023-03-24,it,243,123,29,0.7860082304526749
2023-03-25,de,512,1876,1204,0.74609375
2023-03-25,en,465,447,192,0.9247311827956989
2023-03-25,es,101,147,53,0.8613861386138614
2023-03-25,fr,270,315,132,0.7481481481481481
2023-03-25,it,111,119,34,0.7747747747747747
2023-03-26,de,552,1690,1406,0.8351449275362319
2023-03-26,en,554,390,267,0.9584837545126353
2023-03-26,es,70,102,53,0.9
2023-03-26,fr,268,266,128,0.7649253731343284
2023-03-26,it,78,116,66,0.9487179487179487
2023-03-27,de,1785,1361,1073,0.8879551820728291
2023-03-27,en,1347,345,202,0.9569413511507052
2023-03-27,es,256,89,49,0.97265625
2023-03-27,fr,658,367,163,0.89209726443769
2023-03-27,it,224,100,74,0.9464285714285714
2023-03-28,de,1651,1422,797,0.8709872804360993
2023-03-28,en,1312,429,175,0.9237804878048781
2023-03-28,es,233,91,34,0.9098712446351931
2023-03-28,fr,668,352,96,0.9266467065868264
2023-03-28,it,271,110,25,0.955719557195572
2023-03-29,de,1752,1524,799,0.8242009132420092
2023-03-29,en,1302,530,184,0.9615975422427036
2023-03-29,es,341,95,28,0.9354838709677419
2023-03-29,fr,612,322,104,0.9493464052287581
2023-03-29,it,253,107,25,0.9644268774703557
2023-03-30,de,1685,1688,846,0.7519287833827893
2023-03-30,en,1326,472,175,0.9562594268476622
2023-03-30,es,321,106,29,0.8504672897196262
2023-03-30,fr,641,297,90,0.9032761310452418
2023-03-30,it,273,86,21,0.9377289377289377
2023-03-31,de,1563,1789,884,0.5495841330774153
2023-03-31,en,1278,448,137,0.848982785602504
2023-03-31,es,292,151,31,0.8287671232876712
2023-03-31,fr,542,256,81,0.8911439114391144
2023-03-31,it,309,95,20,0.8996763754045307
2023-04-01,de,562,1743,961,0.4483985765124555
2023-04-01,en,500,446,111,0.878
2023-04-01,es,124,155,34,0.8709677419354839
2023-04-01,fr,365,346,116,0.852054794520548
2023-04-01,it,140,136,19,0.9214285714285714
2023-04-02,de,565,1672,1315,0.8300884955752212
2023-04-02,en,506,438,274,0.9822134387351779
2023-04-02,es,122,101,64,0.9672131147540983
2023-04-02,fr,293,278,119,0.9453924914675768
2023-04-02,it,89,72,36,0.9887640449438202
2023-04-03,de,1761,1656,1226,0.8739352640545145
2023-04-03,en,1427,334,201,0.9768745620182201
2023-04-03,es,407,81,40,0.9287469287469288
2023-04-03,fr,685,218,114,0.9693430656934306
2023-04-03,it,267,46,24,0.951310861423221
2023-04-04,de,1920,1612,803,0.9526041666666667
2023-04-04,en,1474,419,111,0.980325644504749
2023-04-04,es,411,106,28,0.8588807785888077
2023-04-04,fr,745,237,92,0.959731543624161
2023-04-04,it,298,76,15,0.9261744966442953
2023-04-05,de,1820,1307,747,0.9439560439560439
2023-04-05,en,1376,451,120,0.9513081395348837
2023-04-05,es,384,199,51,0.8958333333333334
2023-04-05,fr,771,251,89,0.914396887159533
2023-04-05,it,274,100,25,0.9197080291970803
2023-04-06,de,1749,1084,703,0.9559748427672956
2023-04-06,en,1371,447,120,0.9533187454412837
2023-04-06,es,324,167,52,0.7314814814814815
2023-04-06,fr,701,309,102,0.8174037089871612
2023-04-06,it,315,106,30,0.8539682539682539
2023-04-07,de,966,1043,676,0.8519668737060041
2023-04-07,en,899,466,132,0.9666295884315906
2023-04-07,es,164,236,55,0.8414634146341463
2023-04-07,fr,413,374,128,0.7239709443099274
2023-04-07,it,162,110,25,0.9135802469135802
2023-04-08,de,617,906,696,0.7844408427876823
2023-04-08,en,478,253,141,0.9518828451882845
2023-04-08,es,112,162,102,0.7767857142857143
2023-04-08,fr,315,429,219,0.6190476190476191
2023-04-08,it,94,90,59,0.9148936170212766
2023-04-09,de,323,1021,805,0.7925696594427245
2023-04-09,en,341,240,155,0.9706744868035191
2023-04-09,es,98,127,73,0.9489795918367347
2023-04-09,fr,240,415,246,0.8791666666666667
2023-04-09,it,63,98,71,0.9047619047619048
2023-04-10,de,679,1008,903,0.8630338733431517
2023-04-10,en,828,232,164,0.9842995169082126
2023-04-10,es,197,94,57,0.9289340101522843
2023-04-10,fr,493,345,224,0.9087221095334685
2023-04-10,it,88,76,58,0.9886363636363636
2023-04-11,de,1828,1206,936,0.8468271334792122
2023-04-11,en,1320,298,171,0.8916666666666667
2023-04-11,es,468,104,49,0.8461538461538461
2023-04-11,fr,856,289,166,0.8212616822429907
2023-04-11,it,276,61,35,0.7862318840579711
2023-04-12,de,1802,1547,870,0.8607103218645948
2023-04-12,en,1638,636,158,0.6953601953601953
2023-04-12,es,369,249,51,0.7154471544715447
2023-04-12,fr,732,647,195,0.7759562841530054
2023-04-12,it,271,149,20,0.8302583025830258
2023-04-13,de,1722,1533,1006,0.8548199767711963
2023-04-13,en,1371,1059,198,0.5331874544128373
2023-04-13,es,355,264,76,0.5295774647887324
2023-04-13,fr,737,665,260,0.8521031207598372
2023-04-13,it,219,133,35,0.954337899543379
2023-04-14,de,1520,1495,938,0.8585526315789473
2023-04-14,en,996,1195,387,0.4528112449799197
2023-04-14,es,335,325,110,0.5402985074626866
2023-04-14,fr,584,570,231,0.7243150684931506
2023-04-14,it,195,92,39,0.8358974358974359
2023-04-15,de,453,1250,810,0.8123620309050773
2023-04-15,en,518,1066,433,0.749034749034749
2023-04-15,es,148,314,126,0.6621621621621622
2023-04-15,fr,326,497,210,0.4233128834355828
2023-04-15,it,112,71,24,0.7410714285714286
2023-04-16,de,460,937,802,0.9021739130434783
2023-04-16,en,549,857,486,0.9344262295081968
2023-04-16,es,138,272,153,0.8985507246376812
2023-04-16,fr,242,513,299,0.8057851239669421
2023-04-16,it,75,77,42,0.84
2023-04-17,de,1643,938,796,0.8454047474132684
2023-04-17,en,1258,485,301,0.8807631160572337
2023-04-17,es,413,156,112,0.7941888619854721
2023-04-17,fr,592,464,315,0.9172297297297297
2023-04-17,it,266,121,63,0.9360902255639098
2023-04-18,de,1754,1317,665,0.8831242873432155
2023-04-18,en,1561,694,160,0.9160794362588085
2023-04-18,es,399,268,59,0.8395989974937343
2023-04-18,fr,692,424,222,0.8757225433526011
2023-04-18,it,290,118,28,0.9241379310344827
2023-04-19,de,1850,1127,662,0.885945945945946
2023-04-19,en,1437,893,180,0.9053583855254002
2023-04-19,es,370,261,68,0.918918918918919
2023-04-19,fr,732,461,224,0.9030054644808743
2023-04-19,it,260,95,24,0.9153846153846154
2023-04-20,de,1799,1213,685,0.8543635352973874
2023-04-20,en,1499,771,200,0.8398932621747832
2023-04-20,es,304,218,71,0.819078947368421
2023-04-20,fr,573,517,251,0.8883071553228621
2023-04-20,it,259,92,23,0.9382239382239382
2023-04-21,de,1445,1316,743,0.7467128027681661
2023-04-21,en,1181,970,202,0.7256562235393734
2023-04-21,es,289,196,53,0.643598615916955
2023-04-21,fr,610,453,259,0.7721311475409836
2023-04-21,it,202,111,32,0.806930693069307
2023-04-22,de,562,1294,721,0.6654804270462633
2023-04-22,en,514,732,232,0.8501945525291829
2023-04-22,es,99,232,83,0.8585858585858586
2023-04-22,fr,357,555,264,0.5910364145658263
2023-04-22,it,95,82,24,0.8210526315789474
2023-04-23,de,624,1202,893,0.8461538461538461
2023-04-23,en,575,626,418,0.9791304347826087
2023-04-23,es,99,186,148,0.9191919191919192
2023-04-23,fr,223,580,356,0.7488789237668162
2023-04-23,it,79,89,54,0.9746835443037974
2023-04-24,de,1670,1263,910,0.9604790419161676
2023-04-24,en,1484,422,217,0.9683288409703504
2023-04-24,es,357,204,134,0.9159663865546218
2023-04-24,fr,684,557,381,0.8757309941520468
2023-04-24,it,242,70,56,0.9504132231404959
2023-04-25,de,1765,1133,673,0.9518413597733711
2023-04-25,en,1454,642,150,0.936726272352132
2023-04-25,es,309,180,38,0.9061488673139159
2023-04-25,fr,689,559,261,0.8984034833091437
2023-04-25,it,170,83,21,0.9235294117647059
2023-04-26,de,1731,977,651,0.9526285384170999
2023-04-26,en,1322,704,163,0.9440242057488654
2023-04-26,es,356,158,46,0.848314606741573
2023-04-26,fr,688,582,282,0.8880813953488372
2023-04-26,it,206,62,27,0.9029126213592233
2023-04-27,de,1789,1065,669,0.9111235326998323
2023-04-27,en,1470,640,192,0.9469387755102041
2023-04-27,es,334,241,53,0.7904191616766467
2023-04-27,fr,644,519,292,0.8680124223602484
2023-04-27,it,218,89,30,0.944954128440367
2023-04-28,de,1429,1226,626,0.7305808257522743
2023-04-28,en,1231,654,190,0.9179528838342811
2023-04-28,es,319,252,69,0.4263322884012539
2023-04-28,fr,564,559,300,0.7340425531914894
2023-04-28,it,281,85,37,0.8469750889679716
2023-04-29,de,556,1301,647,0.43345323741007197
2023-04-29,en,560,556,214,0.9589285714285715
2023-04-29,es,137,303,105,0.32116788321167883
2023-04-29,fr,284,655,341,0.6302816901408451
2023-04-29,it,204,116,40,0.8382352941176471
2023-04-30,de,472,1247,815,0.8495762711864406
2023-04-30,en,428,363,256,0.9415887850467289
2023-04-30,es,111,338,235,0.7297297297297297
2023-04-30,fr,219,562,376,0.821917808219178
2023-04-30,it,96,120,70,0.8541666666666666
2023-05-01,de,980,1156,910,0.9744897959183674
2023-05-01,en,706,363,226,0.9121813031161473
2023-05-01,es,210,273,191,0.9666666666666667
2023-05-01,fr,512,483,346,0.9296875
2023-05-01,it,148,119,73,0.9121621621621622
2023-05-02,de,1672,768,564,0.9503588516746412
2023-05-02,en,1193,505,219,0.9069572506286673
2023-05-02,es,393,94,46,0.8956743002544529
2023-05-02,fr,697,393,296,0.8479196556671449
2023-05-02,it,342,88,46,0.7865497076023392
2023-05-03,de,1785,868,491,0.8711484593837535
2023-05-03,en,1394,745,233,0.8601147776183644
2023-05-03,es,521,182,27,0.8253358925143954
2023-05-03,fr,672,588,314,0.75
2023-05-03,it,398,186,53,0.7537688442211056
2023-05-04,de,1758,1052,472,0.8486916951080774
2023-05-04,en,1245,847,277,0.8489959839357429
2023-05-04,es,390,242,45,0.7564102564102564
2023-05-04,fr,708,660,354,0.6412429378531074
2023-05-04,it,368,313,96,0.7472826086956522
2023-05-05,de,1464,1100,512,0.8039617486338798
2023-05-05,en,1076,954,335,0.7434944237918215
2023-05-05,es,331,317,79,0.4773413897280967
2023-05-05,fr,649,768,410,0.325115562403698
2023-05-05,it,255,300,113,0.8274509803921568
2023-05-06,de,481,1175,643,0.6382536382536382
2023-05-06,en,494,941,368,0.757085020242915
2023-05-06,es,108,315,119,0.46296296296296297
2023-05-06,fr,332,1052,577,0.3102409638554217
2023-05-06,it,159,224,94,0.8301886792452831
2023-05-07,de,528,997,770,0.8200757575757576
2023-05-07,en,492,796,519,0.9247967479674797
2023-05-07,es,106,271,190,0.8301886792452831
2023-05-07,fr,262,1052,802,0.6793893129770993
2023-05-07,it,154,168,99,0.9545454545454546
2023-05-08,de,1652,901,668,0.9352300242130751
2023-05-08,en,1466,644,434,0.9474761255115962
2023-05-08,es,382,204,135,0.887434554973822
2023-05-08,fr,718,882,701,0.9345403899721448
2023-05-08,it,286,136,69,0.9545454545454546
2023-05-09,de,1635,834,413,0.927217125382263
2023-05-09,en,1373,668,315,0.953386744355426
2023-05-09,es,308,148,51,0.8831168831168831
2023-05-09,fr,905,538,370,0.9337016574585635
2023-05-09,it,267,119,48,0.9438202247191011
2023-05-10,de,1764,885,426,0.9665532879818595
2023-05-10,en,1464,725,313,0.9713114754098361
2023-05-10,es,366,175,55,0.9289617486338798
2023-05-10,fr,767,575,370,0.8904823989569752
2023-05-10,it,283,122,56,0.8480565371024735
2023-05-11,de,1562,744,414,0.9494238156209988
2023-05-11,en,1200,621,286,0.9708333333333333
2023-05-11,es,313,139,47,0.8498402555910544
2023-05-11,fr,701,656,370,0.8644793152639088
2023-05-11,it,276,155,57,0.8623188405797102
2023-05-12,de,1421,726,419,0.8761435608726249
2023-05-12,en,1115,497,279,0.957847533632287
2023-05-12,es,259,163,48,0.7297297297297297
2023-05-12,fr,619,657,402,0.7253634894991923
2023-05-12,it,233,133,52,0.7682403433476395
2023-05-13,de,535,754,436,0.5663551401869159
2023-05-13,en,443,463,290,0.9142212189616253
2023-05-13,es,132,155,55,0.8257575757575758
2023-05-13,fr,342,700,426,0.8245614035087719
2023-05-13,it,136,149,57,0.8308823529411765
2023-05-14,de,504,825,580,0.8670634920634921
2023-05-14,en,389,428,326,0.9768637532133676
2023-05-14,es,107,142,107,0.9065420560747663
